t,h,s,v,vs,altitude,vertical_rate,groundspeed,fuel_burn,co2,fuel_burn_h2,co2_h2,co2_savings
5020,10911.84,1104369.4177668185,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5030,10911.84,1106674.00159948,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5040,10911.84,1108978.585432141,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5050,10911.84,1111283.1692648022,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5060,10911.84,1113587.7530974636,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5070,10911.84,1115892.336930125,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5080,10911.84,1118196.9207627862,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5090,10911.84,1120501.5045954473,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5100,10911.84,1122806.0884281087,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5110,10911.84,1125110.67226077,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5120,10911.84,1127415.2560934313,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5130,10911.84,1129719.8399260924,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5140,10911.84,1132024.4237587538,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5150,10911.84,1134329.0075914152,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5160,10911.84,1136633.5914240764,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5160,10911.84,1136633.5914240764,230.45838326612338,0.0,35800,0,447,0.0,0.0,0.0,0.0,0.0
5170,10911.84,1138938.1752567375,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5180,10911.84,1141242.759089399,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5190,10911.84,1143547.34292206,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5200,10911.84,1145851.9267547212,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5210,10911.84,1148156.5105873826,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5220,10911.84,1150461.0944200438,230.45838326612338,-5.76,35800,-1133,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
5230,10854.24,1152765.678252705,230.65690380899198,-5.76,35611,-1133,448,10.640521454950118,33.624047797642376,4.256208581980047,13.44961911905695,20.17442867858543
5240,10796.64,1155072.247290795,230.85525363713464,-5.76,35422,-1133,448,10.658829626373155,33.68190161933917,4.2635318505492625,13.47276064773567,20.209140971603503
5250,10739.039999999999,1157380.7998271664,231.05343319020588,-5.76,35233,-1133,449,10.677137797796188,33.73975544103595,4.270855119118475,13.495902176414383,20.24385326462157
5260,10681.439999999999,1159691.3341590683,231.2514429059765,-5.76,35044,-1133,449,10.695445969219222,33.79760926273274,4.278178387687689,13.519043705093097,20.278565557639645
5270,10623.839999999998,1162003.848588128,231.44928322034454,-5.76,34855,-1133,449,10.713754140642253,33.85546308442952,4.285501656256901,13.542185233771809,20.313277850657713
